	Protein	Cell Type	Expression p-value	Expression Sig	tumor	protein synthesis	lipid synthesis	growth	cell cycle	cytoskeletal activity	apoptosis
198	NSUN2	K562	0.184783397	FALSE	-0.483340016	0.755674821	-0.961245116	-0.244836596	-0.70462098	-0.997092275	0.981178886
199	PPIL4	K562	1.75E-06	TRUE	-0.579863275	-0.572954742	0.224113819	-0.403483871	-0.591851826	-0.128917995	-0.014538032
200	PRPF8	K562	8.59E-09	TRUE	0.724089479	-0.069252935	-0.721743471	0.568230077	0.051757432	-0.440090234	-0.556646931
201	PTBP1	K562	0.302493343	FALSE	0.723414117	-0.747326071	0.74470942	0.477478759	-0.520625667	0.688620862	0.499766147
202	PUM2	K562	5.18E-06	TRUE	0.782957972	0.609281164	0.423951414	-0.680614306	-0.178013928	-0.823053618	0.643953135
203	PUS1	K562	9.18E-05	TRUE	0.309259847	0.844063461	0.416058631	0.198572683	-0.580406709	-0.916569325	0.555255438
204	QKI	K562	0.001431338	TRUE	-0.95548359	0.766265052	-0.72869195	0.124187772	0.886180294	0.972633359	-0.220698077
205	RBFOX2	K562	9.04E-54	TRUE	0.514822563	0.416173847	-0.03078243	-0.244400748	-0.361174968	0.045056781	0.833094263
206	RBM15	K562	9.787765089	FALSE	-0.677321106	0.306483969	-0.287963129	0.876767932	0.828062024	0.183233205	-0.473757955
207	RBM22	K562	9.33E-10	TRUE	-0.210717451	0.316960807	0.397428232	-0.437699841	-0.081082216	0.827963867	0.744446524
208	RBM27	K562	5.36E-06	TRUE	0.864153462	0.229034739	-0.269934553	0.414721633	-0.228318061	-0.730922186	0.199724623
209	RPS11	K562	8.04E-05	TRUE	0.044037609	-0.89674202	-0.948283833	-0.246018183	-0.61663129	0.100150157	-0.182384502
210	RPS5	K562	4.16E-11	TRUE	0.623250881	0.441380664	0.476575306	0.650007916	0.58276927	0.410017814	-0.300093333
211	SAFB2	K562	0.002424293	TRUE	-0.422554916	0.701883603	-0.100282392	0.842139873	-0.41616043	0.290229948	-0.767199053
212	SBDS	K562	0.006953316	TRUE	0.609411166	-0.803376169	-0.4108855	0.730154365	-0.271653379	0.339005299	0.592040697
213	SERBP1	K562	1.39E-11	TRUE	0.890394616	0.118294898	0.073333071	0.951513239	0.064429954	-0.779911419	0.329899998
214	SF3B4	K562	0.002655317	TRUE	0.603913398	0.857402299	0.005234582	-0.672115182	0.878987752	0.352885215	-0.852282826
215	SLBP	K562	2.43E-28	TRUE	-0.325191379	0.303741242	-0.797537679	-0.283445369	0.655847842	0.375892309	-0.442663014
216	SLTM	K562	2.38E-13	TRUE	0.547526311	0.811550112	0.43357584	-0.070418889	0.105562556	0.556897174	-0.777488019
217	SMNDC1	K562	0.000118681	TRUE	0.302311116	0.103228836	-0.644821149	0.158733722	0.416161919	0.849465218	-0.732971329
218	SND1	K562	5.54E-11	TRUE	-0.822489869	-0.89400619	0.832671163	-0.308540016	-0.824497449	-0.833052741	-0.290143253
219	SRSF1	K562	9.77E-06	TRUE	-0.576582635	0.926864053	-0.531134376	0.821589401	0.480456115	0.227372366	-0.480742892
220	SRSF7	K562	2.11E-05	TRUE	0.192726252	-0.191140989	0.993436875	0.360701323	-0.093999417	0.765379624	0.474083146
221	TAF15	K562	0.093278022	FALSE	0.142986018	0.699857589	0.108986988	0.106156911	-0.782233709	0.493597069	0.42827241
222	TARDBP	K562	8.25E-06	TRUE	0.344585835	-0.480780937	0.38171492	0.090517242	0.163994548	-0.960962656	-0.937986861
223	TBRG4	K562	2.09E-06	TRUE	0.362010472	0.306977473	0.34668457	-0.779927584	0.737565737	0.28889463	0.021519008
224	CSTF2	SK-N-SH	1.55E-17	TRUE	-0.178796581	0.438019361	-0.364196839	-0.010571057	0.650915838	0.57193164	0.116513555
225	CSTF2T	SK-N-SH	6.94E-24	TRUE	0.604118414	-0.898998365	-0.30354502	0.797441382	-0.575590367	0.644154967	0.379279967
226	DDX3X	SK-N-SH	1.84E-32	TRUE	0.365753165	0.457153513	-0.293549912	0.713376786	0.093125831	-0.867851323	0.814004283
227	DDX55	SK-N-SH	1.00E-06	TRUE	0.932321311	-0.336537407	-0.856971655	0.369363331	-0.049018203	0.602294143	-0.210864408
228	DDX59	SK-N-SH	1.23E-12	TRUE	-0.056197857	-0.659483879	-0.545038611	0.731363311	-0.871535447	0.48478284	-0.5291575
229	DDX6	SK-N-SH	1.36E-09	TRUE	0.55892971	0.397434162	0.70226354	-0.168801969	0.874087967	-0.999134676	-0.606129834
230	DHX30	SK-N-SH	0.003312028	TRUE	-0.931485688	0.97667952	0.222133347	-0.432411794	0.640036179	-0.536712612	-0.043886267
231	DKC1	SK-N-SH	9.64E-05	TRUE	0.476917927	0.818362262	0.990018587	-0.700200015	-0.332042108	0.97608719	-0.539525048
232	EFTUD2	SK-N-SH	2.23E-10	TRUE	-0.693348424	-0.863100616	-0.204273718	-0.268898983	0.769913283	-0.208811954	0.068409189
233	EIF3D	SK-N-SH	6.81E-06	TRUE	-0.942355101	0.846829059	-0.336260277	-0.184623086	-0.806364445	0.197190886	-0.812256457
234	FAM120A	SK-N-SH	9.67E-22	TRUE	-0.610838706	-0.966376802	-0.816315068	0.889002164	-0.261971407	0.206017318	-0.924210539
235	FASTKD2	SK-N-SH	1.05E-14	TRUE	0.153720408	-0.458955091	-0.658159088	-0.709258045	0.893362996	-0.989169084	-0.742536714
236	FKBP4	SK-N-SH	2.59E-19	TRUE	-0.846356311	-0.922456868	0.379275709	0.657378467	-0.032510336	0.134985744	-0.199881415
237	FUBP3	SK-N-SH	3.85E-11	TRUE	0.598832895	-0.080908995	-0.583100806	0.562783461	0.663187074	-0.077060752	0.519125497
238	GRSF1	SK-N-SH	2.50E-09	TRUE	-0.553528001	0.294117333	-0.43116864	-0.254717444	0.057879021	-0.294280394	-0.047118267
239	GRWD1	SK-N-SH	4.03E-15	TRUE	-0.062775118	-0.717800705	-0.398673684	0.574724571	-0.367424588	0.909566057	0.446517505
240	GTF2F1	SK-N-SH	2.54E-11	TRUE	-0.55167094	-0.165211596	0.487795819	-0.895751657	-0.750554382	0.069642628	-0.384093042
241	HNRNPA1	SK-N-SH	1.20E-16	TRUE	-0.799794559	0.717022739	0.141585293	0.884877902	0.438548919	0.602895274	0.177566192
242	HNRNPC	SK-N-SH	2.69E-47	TRUE	0.434233217	-0.119540304	0.672486353	0.083125251	0.801086017	0.969246171	0.460551562
243	HNRNPK	SK-N-SH	3.27E-14	TRUE	-0.629329382	-0.885029582	0.983339908	-0.7599369	-0.500187273	-0.865682341	-0.060695054
244	HNRNPM	SK-N-SH	0.003006932	TRUE	-0.838806818	-0.413256041	-0.515763499	0.404873897	0.225880061	-0.10646682	0.825189268
245	HNRNPU	SK-N-SH	6.16E-09	TRUE	-0.949491935	0.392805573	-0.457384122	0.338957738	-0.972564728	0.43042181	-0.560830399
246	HNRNPUL1	SK-N-SH	1.32E-07	TRUE	-0.775404433	0.566531903	-0.277751625	-0.556485338	0.271733297	0.754865298	0.677043451
247	IGF2BP1	SK-N-SH	1.56E-11	TRUE	0.995419721	0.425491512	-0.293363261	-0.200777584	-0.319060244	0.539405505	-0.35591179
248	IGF2BP3	SK-N-SH	1.72E-16	TRUE	0.712367728	0.626874253	-0.782553387	-0.655124409	0.173127805	-0.453749034	-0.491706747
249	ILF3	SK-N-SH	2.65E-30	TRUE	0.977357612	-0.336455106	-0.769108169	0.994282002	0.630422986	0.432856609	-0.332198867
250	LARP4	SK-N-SH	8.16E-05	TRUE	-0.218704557	-0.703845559	-0.235278212	-0.666055802	0.890883466	0.874257739	0.892950092
251	LARP7	SK-N-SH	0.00061777	TRUE	-0.576860339	-0.498205694	0.136272051	0.417135238	0.931483805	-0.743366292	0.89883335
252	LIN28B	SK-N-SH	0.025933292	TRUE	-0.080814274	-0.603704341	0.246520085	-0.706770967	-0.939172139	-0.654169987	-0.783193717
253	LSM11	SK-N-SH	0.000198312	TRUE	-0.873088325	-0.942757394	-0.995199954	0.687677442	0.954904372	-0.77309734	0.279180531
254	NCBP2	SK-N-SH	1.53E-41	TRUE	-0.331640834	-0.088605019	0.57735291	0.341238347	0.904758045	-0.40561639	0.886958585
255	NKRF	SK-N-SH	6.35E-20	TRUE	0.564977672	-0.943979858	-0.83468422	0.234280442	0.199832858	0.366701105	0.463849383
256	NOL12	SK-N-SH	0.000374825	TRUE	0.773888284	0.717419412	-0.789640082	0.542939528	0.295356947	-0.115007734	-0.74395033
257	PCBP2	SK-N-SH	1.94E-09	TRUE	0.194278002	-0.233318421	0.585077178	-0.268125699	0.729455411	0.524285374	-0.849475633
258	PPIG	SK-N-SH	1.91E-33	TRUE	0.228439776	-0.045453704	0.430992366	-0.877271659	-0.48506036	-0.859499141	-0.461618833
259	PRPF8	SK-N-SH	9.25E-17	TRUE	-0.293929888	0.094602256	0.946563095	-0.674977995	0.523582511	-0.961502271	0.274566888
260	PTBP1	SK-N-SH	0.002406317	TRUE	-0.566988997	0.598835198	-0.476893175	0.433192508	-0.831937362	0.96067808	0.287996476
261	QKI	SK-N-SH	4.35E-13	TRUE	0.887495044	0.582506751	-0.613806161	-0.97374615	-0.250382514	-0.860453538	-0.347681362
262	RBFOX2	SK-N-SH	5.63E-15	TRUE	0.510771881	0.526801946	-0.425165532	0.330403833	-0.101514003	0.881938921	-0.987508836
263	RBM15	SK-N-SH	3.73E-46	TRUE	0.715156453	-0.308937634	0.272251383	-0.483898115	0.25973847	0.386604837	-0.081483558
